                     ,,,,,,,,,
Marca/Make,Motor/Engine,"Nº Original /
OEM #",N°300-INDY,A/E,D.E,D.I,H,µ,"Cant. por juego / 
QTY per box"
CATERPILLAR,"ASIENTO VALV. CATERPILLAR 3126E ESC,
442 C.I (7.2L) 3126B C7 18V (12ADM, 6 ESC) ACERT",1478218,A5672,ESC,46.07,39.4,6.1,45º,6
CATERPILLAR,"ASIENTO VALV. CATERPILLAR 1673 CA ESC,",,A5361,ESC,49.2,39.7,11.1,45º,6
CATERPILLAR,3406/3408/3412 C15--C32 - ADAPTACION,,A9292,ESC,42.85,36.38,9.27,45°,
CATERPILLAR,3406 C15 C16 C18 C27 C32 - ADAPTACION,,A9291,ADM,48.03,40.86,7.81,30°,
CHEVROLET,"ASIENTO VALV. GM Cruze 1,8 L 16v",55559962,A5691,ESC,28.18,22.5,5.7,,0
CHEVROLET,"ASIENTO VALV.CHEVROLET CORSA/ASTRA ESC,
Corsa GSI-GLS, Tigra, Astra, Vectra Motor 1,6 C16XE DOCH 16V",,A5522D,ESC,28.25,22,6,45º,0
CHEVROLET,"ASIENTO VALV. GM Cruze 1,8 L 16v",24405801,A5692,ADM,31.68,27.5,5.35,,0
CHEVROLET,"ASIENTO VALV. CHEVROLET CORSA,ASTRA 1,6 ADM.
Corsa GSI-GLS, Tigra, Astra, Vectra Motor 1,6 C16XE DOCH 16V",,A5514D,ADM,31.75,27.5,6,45º,0
CHEVROLET,"ASIENTO VALV.CHEVROLET CORSA 1,6 NAFTA GNC 8V ESC",,A5488,ESC,32.65,26.5,6,45º,4
CHEVROLET,"ASIENTO VALV.CHEVROLET ASTRA  / BLAZER ESC.
Vectra, Kadet, Monza, Omega Motor C18NZ/C20NE 1,8-2,0-2,2I,
- Astra 2,0 i Blazer 2,2i,- Pick Up S10 2,2i nafta", ,A5527D,ESC,37.65,30.15,7.7,45º,4
CHEVROLET,"ASIENTO VALV. CHEVROLET 250 ESC,
 230/250/GIVC 2.2L/153/181",,A5216,ESC,39.5,31.7,7,45º,6
CHEVROLET,"ASIENTO VALV.CHEVROLET CORSA 1,6 ADM.",,A5487,ADM,39.75,33,6,45º,4
CHEVROLET,"ASIENTO VALV.CHEVROLET ASTRA  / BLAZER 1,8/2,0/2,2 ADM,
Vectra, Kadet, Monza, Omega Motor C18NZ/C20NE 1,8-2,0-2,2I,
- Astra 2,0 i Blazer 2,2i,- Pick Up S10 2,2i nafta", ,A5513D,ADM,44.65,37,7.7,45º,0
CHEVROLET,"ASIENTO VALV. CHEVROLET 250 ADM.
 230/250/GIVC 2.2L/153/181",,A5215,ADM,46,39,7,45º,6
CHEVROLET,ASIENTO VALV. CHEVROLET 366 (66/87) 427-45 ESC.,,A5122,ESC,46.8,36.5,9,45º,6
CHEVROLET,ASIENTO VALV.CHEVROLET ADAP. ESC.,,A5229,ESC,47,33,8,30º,6
CHEVROLET,ASIENTO VALV. CHEVROLET 366 (66/87) 427-45 ADM.,,A5120,ADM,50.88,42.75,7.1,30º,6
CHRYSLER,ASIENTO CHRYSLER,504 0910 2320 F,A5725,ADM,43.09,34.43,8.05,15º,
CHRYSLER,ASIENTO CHRYSLER, 504 0910 2385 F,A5724,ESC,47.39,40.1,7.7,30º,
CHRYSLER,ASIENTO CHRYSLER,,A5722,ADM,53.11,43.1,9.65,45º,
CHRYSLER,ASIENTO CHRYSLER,,A5723,ESC,60.11,51.1,8.85,30º,
CUMMINS,"ASIENTO VALV. CUMMINS ISB ESC
Serie ISBC Electrónico 24 válvulas MODELO ORIGINAL",3939723,A9088,ESC,35.05,28,5.75,45º,6
CUMMINS,"ASIENTO VALV. CUMMINS ISB ADM
Serie ISBC Electrónico 24 válvulas MODELO ORIGINAL",3939719 - 3943449,A9099,ADM,35.05,28.1,5.75,30º,6
CUMMINS,"ASIENTO VALV. CUMMINS ISB
Serie ISB Electronico 24 valvulas ",,A5065,A-E,35.07,28,5.8,45º,6
CUMMINS,"ASIENTO VALV. CUMMINS ISC ADM
Serie ISC Electrónico 24 válvulas MODELO ORIGINAL",3940152,A5689,ADM,39.47,32.5,6,30º,6
CUMMINS,"ASIENTO VALV. CUMMINS ISC ESC
Serie ISC Electrónico 24 válvulas MODELO ORIGINAL",3968074,A5690,ESC,39.47,33,5,45º,6
CUMMINS,ASIENTO VALV. CUMMINS QSX 15,,A5064,A-E,39.5,31.7,7,45º,6
CUMMINS,"ASIENTO VALV. CUMMINS ISCe ADM,
CUMMINS 24 VALV.  8.3 - 9 LTS   FORD CARGO 1832 ELECT. QSL9 - ISC - ISL - ISLE - ISL GAS 6 LTA ",ADAPTACION,A9229,ADM,39.5,32.5,6,30º,6
CUMMINS,"ASIENTO VALV. CUMMINS ISCe ESC,
CUMMINS 24 VALV.  8.3 - 9 LTS   FORD CARGO 1832 ELECT. QSL9 - ISC - ISL - ISLE - ISL GAS 6 LTA ",ADAPTACION,A9230,ESC,39.5,32.5,6,45º,6
CUMMINS,"ASIENTO VALV. CUMMINS V6 V8 ADM,",195001,A5614,ADM,43.1,36.7,4.53,30º,6
CUMMINS,"ASIENTO VALV. CUMMINS SERIE B ESC,
4B 4BT 6B 6BT",3904105,A5252,ESC,43.73,34.5,6.72,45º,6
CUMMINS,ASIENTO VALV. CUMMINS L10 M11 ADM,3820700,A5623,ADM,46.02,38.6,5.7,30º,6
CUMMINS,ASIENTO VALV. CUMMINS L10 M11 ESC,"3028070 / 3820180 / 3028071 +0,25",A5624,ESC,46.02,36.8,5,30º,6
CUMMINS,"ASIENTO VALV. CUMMINS  LTA A-E
L10, M11 MECANICO / ELECTRONICO",3028070,A5545,A-E,46.05,36.7,5,30º,6
CUMMINS,"ASIENTO VALV. CUMMINS NVH450  A-E
V 1486 V/VT600",69965,A5432D,A-E,46.9,39.6,7,30º,0
CUMMINS,"ASIENTO VALV. CUMMINS SERIE B ADM
4B 4BT 6B 6BT",3906854,A5251,ADM,47.07,37.95,6.9,30º,6
CUMMINS,"ASIENTO VALV. CUMMINS MOT. SERIE C ESC
 8.3 I Turbo Aftercooler Diesel FORD CARGO","Std-3929005 / +0.25 -3929006 /
 +0.50 -3929007",A5273,ESC,47.1,40,5.85,45º,6
CUMMINS,ASIENTO VALV. CUMMINS MOT. SERIE C MOT 6CT ESC,3904716,A9008,ESC,47.17,39.98,5.8,45º,6
CUMMINS,"ASIENTO VALV. CUMMINS N14 ELECTRONICO ESC,",3084041,A5612,ESC,49.61,41.72,5.49,45º,6
CUMMINS,"ASIENTO VALV. CUMMINS N14 ELECTRONICO ADM,",3084020,A5613,ADM,49.62,41.5,4.92,20º,6
CUMMINS,"ASIENTO VALV. CUMMINS 230 A-E
 NH 230/250, NHC230/250, NT280/300/10/35/420, NTA, NTC, CT, VT700, VT1710",127930,A5027,A-E,50.88,42.9,7.14,30º,6
CUMMINS,ASIENTO VALV. CUMMINS N 855 A-E,3017759,A5433,A-E,50.95,42.9,7,30º,6
CUMMINS,"ASIENTO VALV. CUMMINS N14 ESC,",3069692,A5695,ESC,50.95,43.05,5.43,30º,6
CUMMINS,"ASIENTO VALV. CUMMINS N 14 ADM,","3054590-3054600 / 3054591+0,10/ 
 3054592+0,20",A5610,ADM,51.1,42.8,5.42,30º,6
