,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,MAHLE,EDIVAL,,,,,
,,,,,,,,,,
Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
, ,,EX,VE1400820,21948 E,30.30 x 5.95 x 105.70,A/M/CP,44°30',C,A
BMW,Motor 318i M40 1800cc. Nafta,4,IN,VA1401176,1949 A,41.90 x 6.97 x 102.10,M/CP/SH,44°30',C,A
, ,,EX,VE1401179,21949 E,35.90 x 6.95 x 101.00,AB/M/ST/CP,44°30',C,A
BMW,Motor 320-520-323-323i Nafta,6,IN,VA1400816,1950 A,39.88 x 6.95 x 102.40,M/SH,44°30',C,A
, ,,EX,VE1400817,21950 E,33.88 x 6.95 x 102.40,A/CP,44°30',C,A
BMW,Motor 324D-524D/TD Turbo Diesel ,6,IN,VA1401178,21953 A,34.90 x 7.00 x 114.30,A/M/CP,45°,C,A
, ,,EX,VE1401181,21953 E,30.90 x 7.00 x 114.10,A/M/CP/ST,45°,C,A
BMW,Motor 325i/ic/ix-525i Nafta,6,IN,VA1401177,1952 A,42.00 x 7.00 x 102.50,M/CP/SH,45°,C,A
, ,,EX,VE1401180,21952 E,36.00 x 7.00 x 102.50,AB/M/ST/CP,45°,C,A
BMW,Motor 525-525i-528-528i-CS535-628i-728-728i Nafta,6,IN,VA1400818,1951 A,45.90 x 7.96 x 106.70,M/CP/SH,44°,C,C
, ,,EX,VE1400819,21951 E,37.83 x 7.95 x 107.13,A/M/ST/CP,44°15',C,C
BORGWARD,Motor Diesel D301 E1-52HP (65/71) ,4,IN,VA3200866,1061 A,35.08 x 9.96 x 124.45,M,44°30',E,A
, ,,IN,VA3200866+08,1061 A+08,35.08 x 9.96 x 124.45,M,44°30',E,A
, ,,EX,VE3200867,21061 E,31.18 x 9.96 x 124.95,A,44°30',E,A
, ,,EX,VE3200867+08,21061 E+08,31.18 x 9.96 x 124.95,A,44°30',E,A
BORGWARD,Motor Diesel D4M-42HP (52/66) ,4,IN,VA3200864,1033 A,32.28 x 8.97 x 122.95,M,44°30',L,C
, ,,IN,VA3200864 +08,1033 A+08,32.28 x 8.97 x 122.95,M,44°30',L,C
, ,,IN,VA3200864+1,1033 A+1,33.28 x 8.97 x 122.95,M,44°30',L,C
, ,,EX,VE3200865,1033 E,30.18 x 8.97 x 122.95,M,44°30',L,A
, ,,EX,VE3200865+08,1033 E+08,30.18 x 8.97 x 122.95,M,44°30',L,A
, ,,EX,VE3200865+1,1033 E+1,31.18 x 8.97 x 122.95,M,44°30',L,A
BORGWARD,Motor Diesel VM serie HR88/92/94 H-HT ,4,IN,VA0040322,21054 A,40.13 x 7.95 x 120.93,A/M/CP,34°20',A,A
, ,,EX,VE0040322,21054 E,33.88 x 7.93 x 120.92,A/M/CP,44°20',A,A
BRIGGS & STRATTON,Serie I/C 28B700 Motor 10.5 HP 465cc. Nafta,1,IN,VA0531057,4810 A,34.93 x 7.86 x 131.51,M,29°45',U,C
, ,,EX,VE0531058,24810 E,31.75 x 7.84 x 132.21,A/ST,44°45',F,A
BUICK,Motor 350-405/7 (77/80) Nafta,8,IN,VA0020136,1109 A,47.70 x 8.70 x 118.50,M,44°,F,C
