,,,,,,,,
,,,ASIENTOS de VALVULAS - VALVE SEATS,,,,,
,,,TEMPLADOS Y REVENIDOS SEGÚN NORMAS ORIGINALES,,,,,
Código NUBO,Nº Riosulense,Nº Original,Marca y Modelo,Tipo,Diámentro Exterior,Diámetro Interior,Altura,Angulo
,,OEM,OEM  Name / Application,,D,d,,
C237,,,TIPO 1.4,A,38.35,33,8.6,45º
C225,,,,E,32.65,27,8.6,45º
C311,,,TIPO 1.6,A,40.15,35.5,9.5,45º
C269,,,FIRE 1.0 - 1.3 16V,A,28.11,22.8,6.3,45º
C270,,,,E,24.15,18.7,7,45º
C330,,,FIRE 8 VALVULAS,E,28.5,24,8.5,
,,,,,,,,
C312,,,PALIO MOTOR TORQUE 16V 1600,A,31.7,26.5,8,45º
C313,,,,E,30.1,24,8,45º
C314,,,PALIO - SIENA 1700 / 1900 TURBO DIESEL,A,42.25,35,7,45º
C315,,,,E,37.65,30,7,45º
C445,,,CURSOR,A,42.05,33,7,
C446,,,,E,41.09,32,8,
C458,,,CURSOR 13,A,49,39,8,
C459,,,,E,47,38,8,
,,,FORD,,,,,
C280,25644030,79NU6E087A,"CORCEL, ESCORT OHC 1.4 / 1.6",A,33.62,27.5,6,30º
C281,25645030,79AU6057B,,E,29.62,24,6,30º
C121,,,FALCON 221,A,44,36.5,8,45º
C122,,,,E,37,29.5,7.5,45º
C195,,,FIESTA - COURRIER DIESEL 1.8 ,A,38.2,32,7,45º
C196,,,,E,33.1,27,7,45º
C255,,,MAX ECONO,E,38.7,29.2,7,45º
C408,,,MAX ECONO ( FENIX ),E,38.1,32.6,5,
C297,,,FIESTA - KA  MOTOR ENDURA 1.0 / 1.3,A,36.4,30,6,45º
C282,,,,E,31.5,24.7,6,45º
C197,,,MOTOR ZETEC 16V  1.6 / 1.8 / 2.0,A,38.71,32.7,6,45º
C198,,,,E,30.02,23.3,6,45º
C283,,,MOTOR ROCAM 1.0 / 1.6  8V,A,41.45,35,6.5,45º
C284,,,,E,36.1,30,6,
C349,,,FALCON 221(FENIX),E,36.6,30,5,45º
C405,,,FORDSON,A,48.25,42,6.5,
C407,,,,E,40.7,34.5,7.7,
C439,,,"RANGER 3,0",A,34.15,28,6,
C440,,,,E,31.15,24,6,
,,,HINO,,,,,
C369,,,J08,A,41.15,34,7.1,
C373,,,,E,39.15,32.4,6.15,
,,,HYUNDAI,,,,,
C396,,,ACCENT - VERNA,A,30.6,25.5,5.5,
C399,,,,E,27.3,21.5,6.5,
C360,,,H-100 GASOLINA,,47.2,41,9,
C370,,,,,40.2,33,9,
C431,,,ACCENT - VERNA,,29,19,8,
C432,,,H100,,35.5,43,8,
C443,,,ATOS ,A,24.25,18.5,6.5,
C444,,,,E,29,23.5,6.5,
,,,ISUZU,,,,,
C366,,,4ZD1,A,44.3,37,7.5,
C372,,,,E,39.3,32.5,7.5,
C364,,,"LUV 2,2 - 2,4",A,44.7,36,7.6,
C381,,,,E,37.7,32,7.6,
C356,,,4 HG1,A,52.25,45.5,7.8,
C368,,,,E,43.25,36,7.3,
,,,,,,,,
,,,KIA,,,,,
C285,231170054,,MOTOR 2.7 - BESTA -,A,43.6,37,6,45º
C286,231171054,,,E,37,30.5,5.5,
C287,231172054,,MOTOR 3.0 - BESTA -,A,45.6,39,6,45º
C288,231173054,,,E,38.15,32,7.2,45º
C362,,,PREGIO,,45.7,39,7,
C376,,,,,38.2,32,7,
C386,,,SPORTAGE,A,35.2,30,7.5,
C394,,,,E,31.35,25,7.5,
C422,,,,E,29.1,23.9,4.65,
C423,,,,A,26.45,21.3,4.65,
,,,LADA,,,,,
C378,,,,,37.65,32,8.5,
C391,,,,,32.68,27,8.5,
,,,MAZDA,,,,,
C363,,,FE,A,45.4,39,8.5,
C374,,,,E,38.4,32,8.5,
C380,,,G6 ( 2600 ),A,37.8,32,7.5,
C385,,,,E,35.25,30,7.5,
C367,,,1600/ NA,,43.2,36.5,8.5,
C371,,,,,37.2,28,8.5,
C384,,,F2,A,35.8,29.5,7.3,
C387,,,,E,34.3,28.5,7,
C428,,,SANTA FE,,42,32,8,
,,,MERCEDES BENZ,,,,,
C155,23130043,3520531631,MOTORES OM 352 ,A,45.07,37,8.3,45º
C156,23515020,3520530032,MOTORES OM 352 / OM 366,E,38.07,28,8.5,45º
